D= 1216
 GENUS#30;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#30;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#30;P=7; 96/7; [1]+[1]+[1]+[7]
 GENUS#31;P=2; 4608; [A]+[4 A]
 GENUS#31;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#31;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#31;P=7; 96/7; [1]+[1]+[1]+[7]
 GENUS#32;P=2; 4608; [A]+[4 A]
 GENUS#32;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#32;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#32;P=7; 96/7; [1]+[1]+[3]+[21]

D= 1728
 GENUS#43;P=2; 4096; [H]+[14]+[24]
 GENUS#43;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#44;P=2; 4096; [H]+[2]+[40]
 GENUS#44;P=3; 216; [1]+[2]+[6]+[9]
 GENUS#45;P=2; 32768; [1]+[3]+[2]+[2]
 GENUS#45;P=3; 432; [1]+[1]+[3]+[9]
 GENUS#46;P=2; 32768; [1]+[3]+[2]+[2]
 GENUS#46;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#47;P=2; 16384; [7]+[2 H]+[12]
 GENUS#47;P=3; 48; [1]+[1]+[2]+[54]
 GENUS#48;P=2; 98304; [1]+[5]+[4 H]
 GENUS#48;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#49;P=2; 49152; [1]+[2 A]+[4]
 GENUS#49;P=3; 1296; [1]+[3]+[3]+[3]
 GENUS#50;P=2; 24576; [A]+[28]+[28]
 GENUS#50;P=3; 1296; [1]+[3]+[3]+[3]
 GENUS#51;P=2; 98304; [1]+[5]+[4 H]
 GENUS#51;P=3; 432; [1]+[1]+[3]+[9]
 GENUS#52;P=2; 49152; [1]+[2 A]+[4]
 GENUS#52;P=3; 216; [1]+[2]+[6]+[9]
 GENUS#53;P=2; 8192; [H]+[4]+[20]
 GENUS#53;P=3; 432; [1]+[1]+[3]+[9]
 GENUS#54;P=2; 49152; [1]+[2 A]+[4]
 GENUS#54;P=3; 48; [1]+[1]+[2]+[54]
 GENUS#55;P=2; 8192; [H]+[4]+[20]
 GENUS#55;P=3; 48; [1]+[1]+[1]+[27]
 GENUS#56;P=2; 49152; [7]+[2 A]+[28]
 GENUS#56;P=3; 216; [1]+[2]+[3]+[18]
 GENUS#57;P=2; 16384; [7]+[2 H]+[12]
 GENUS#57;P=3; 216; [1]+[2]+[6]+[9]
 GENUS#58;P=2; 4096; [H]+[14]+[24]
 GENUS#58;P=3; 216; [1]+[2]+[3]+[18]
 GENUS#59;P=2; 3072; [H]+[3]+[112]
 GENUS#59;P=3; 432; [1]+[1]+[6]+[18]
 GENUS#60;P=2; 4096; [H]+[14]+[24]
 GENUS#60;P=3; 432; [1]+[1]+[3]+[9]
 GENUS#61;P=2; 16384; [1]+[2 H]+[20]
 GENUS#61;P=3; 216; [1]+[2]+[3]+[18]
 GENUS#62;P=2; 24576; [A]+[4]+[4]
 GENUS#62;P=3; 48; [1]+[1]+[1]+[27]
 GENUS#63;P=2; 8192; [H]+[28]+[12]
 GENUS#63;P=3; 1296; [1]+[3]+[3]+[3]
 GENUS#64;P=2; 3072; [H]+[7]+[48]
 GENUS#64;P=3; 216; [1]+[2]+[6]+[9]
 GENUS#65;P=2; 8192; [H]+[4]+[20]
 GENUS#65;P=3; 216; [1]+[2]+[3]+[18]
 GENUS#66;P=2; 4096; [H]+[2]+[40]
 GENUS#66;P=3; 1296; [1]+[3]+[3]+[3]
 GENUS#67;P=2; 24576; [A]+[28]+[28]
 GENUS#67;P=3; 432; [1]+[1]+[6]+[18]
 GENUS#68;P=2; 8192; [H]+[28]+[12]
 GENUS#68;P=3; 216; [1]+[2]+[6]+[9]
 GENUS#69;P=2; 49152; [1]+[2 A]+[4]
 GENUS#69;P=3; 432; [1]+[1]+[6]+[18]
 GENUS#70;P=2; 16384; [7]+[2 H]+[12]
 GENUS#70;P=3; 432; [1]+[1]+[6]+[18]
 GENUS#71;P=2; 98304; [1]+[5]+[4 H]
 GENUS#71;P=3; 216; [1]+[2]+[3]+[18]
 GENUS#72;P=2; 49152; [7]+[2 A]+[28]
 GENUS#72;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#73;P=2; 3072; [H]+[1]+[80]
 GENUS#73;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#74;P=2; 8192; [H]+[4]+[20]
 GENUS#74;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#75;P=2; 98304; [7]+[3]+[4 H]
 GENUS#75;P=3; 432; [1]+[1]+[6]+[18]
 GENUS#76;P=2; 98304; [7]+[3]+[4 H]
 GENUS#76;P=3; 216; [1]+[2]+[6]+[9]
 GENUS#77;P=2; 12288; [A]+[2]+[8]
 GENUS#77;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#78;P=2; 16384; [1]+[2 H]+[20]
 GENUS#78;P=3; 1296; [2]+[3]+[3]+[6]
 GENUS#79;P=2; 98304; [7]+[3]+[4 H]
 GENUS#79;P=3; 1296; [1]+[3]+[3]+[3]
 GENUS#80;P=2; 24576; [A]+[4]+[4]
 GENUS#80;P=3; 1296; [2]+[3]+[3]+[6]

